file	pages	Marked	STRoot	elems	types	H	Table	Figure	Alt	ActualText	Pg	A	stext
ISO_32000-2_sponsored_EC3.pdf	1023	True	YES	78468	40	981	745	195	186	2	76976	540	1725
ISO_TS_32001-2022_sponsored_EC3.pdf	14	True	YES	321	55	0	1	5	5	2	251	27	345
ISO_TS_32002-2022_sponsored_EC3.pdf	14	True	YES	644	57	0	4	5	5	8	485	31	659
ISO_TS_32003-2023_sponsored.pdf	13	False	YES	393	50	0	4	3	3	32	284	23	415
Investment Valuation, University Edition _ Tools and -- As	1377	None	-	0	0	0	0	0	0	0	0	0	0
Investment Valuation, University Edition _ Tools and -- As	1377	None	-	0	0	0	0	0	0	0	0	0	0
Investment Valuation_ Tools and Techniques for Determining	1356	None	-	0	0	0	0	0	0	0	0	0	0
La filosofia nel boudoir, ovvero, I precettori immorali _ 	164	None	-	0	0	0	0	0	0	0	0	0	0
Neural Networks from Scratch in Python_ Building Neural --	666	None	-	0	0	0	0	0	0	0	0	0	0
Otherwise Than Being_ Or Beyond Essence (1998 edition) -- 	243	None	-	0	0	0	0	0	0	0	0	0	0
Otherwise Than Being_ Or Beyond Essence (1998 edition) -- 	243	None	-	0	0	0	0	0	0	0	0	0	0
PDF-Declarations-1.pdf	10	True	YES	310	27	22	3	2	24	3	189	47	318
PDF-Declarations.pdf	10	True	YES	310	27	22	3	2	24	3	189	47	318
PDF20_AN001-BPC.pdf	5	True	YES	82	17	8	0	3	3	1	72	9	85
PDF20_AN002-AF.pdf	14	True	YES	258	21	31	0	2	2	0	227	8	267
PDF20_AN003-ObjectMetadataLocations.pdf	10	True	YES	332	32	1	5	2	2	3	193	21	341
SDT_Comprehensive_Record.docx-1.pdf	20	False	YES	213	6	29	0	0	0	0	199	0	234
SDT_Comprehensive_Record.docx-2.pdf	20	False	YES	213	6	29	0	0	0	0	199	0	234
SDT_Comprehensive_Record.docx.pdf	20	False	YES	213	6	29	0	0	0	0	199	0	234
Schedule Builder.pdf	2	None	-	0	0	0	0	0	0	0	0	0	0
Social Media Marketing in 2026 -- Unknown -- None -- 19bae	104	None	-	0	0	0	0	0	0	0	0	0	0
Tagged-PDF-Best-Practice-Guide.pdf	72	True	YES	2025	29	186	8	8	8	0	1603	180	678
The Unicode Standard, Version 13_0 -- The Unicode Consorti	1030	None	-	0	0	0	0	0	0	0	0	0	0
Untitled document.pdf	12	False	YES	127	4	0	0	0	0	0	123	0	140
W51RVON025_item_37995208-1.pdf	1	None	-	0	0	0	0	0	0	0	0	0	0
W51RVON025_item_37995208.pdf	1	None	-	0	0	0	0	0	0	0	0	0	0
W51RVON025_item_37995209-1.pdf	1	None	-	0	0	0	0	0	0	0	0	0	0
W51RVON025_item_37995209.pdf	1	None	-	0	0	0	0	0	0	0	0	0	0
Well-Tagged-PDF-WTPDF-1.0.pdf	57	True	YES	2060	28	183	10	3	175	93	1388	175	846
ai-strategy-en.pdf	50	None	-	0	0	0	0	0	0	0	0	0	0
bojieli_ai-agent-book： 《深入理解 AI Agent：设计原理与工程实践》（李博杰 著）开源主	19	False	YES	2388	21	119	2	9	9	0	1303	93	2428
bulgakov-master-and-margarita.pdf	419	None	-	0	0	0	0	0	0	0	0	0	0
claude-code-up-and-running.pdf	104	None	-	0	0	0	0	0	0	0	0	0	0
